Jurisdiction,TAZNUM,Type,Subarea,SubareaName
BELLEVUE,150,Regular,12,Bel-Red Northup
BELLEVUE,151,Regular,12,Bel-Red Northup
BELLEVUE,152,Regular,12,Bel-Red Northup
BELLEVUE,153,Regular,12,Bel-Red Northup
BELLEVUE,154,Regular,12,Bel-Red Northup
BELLEVUE,155,Regular,12,Bel-Red Northup
BELLEVUE,156,Regular,12,Bel-Red Northup
BELLEVUE,157,Regular,12,Bel-Red Northup
BELLEVUE,158,Regular,12,Bel-Red Northup
BELLEVUE,159,Regular,12,Bel-Red Northup
BELLEVUE,160,Regular,12,Bel-Red Northup
BELLEVUE,161,Regular,12,Bel-Red Northup
BELLEVUE,162,Regular,12,Bel-Red Northup
BELLEVUE,163,Regular,12,Bel-Red Northup
BELLEVUE,164,Regular,12,Bel-Red Northup
BELLEVUE,165,Regular,12,Bel-Red Northup
BELLEVUE,166,Regular,12,Bel-Red Northup
BELLEVUE,167,Regular,12,Bel-Red Northup
BELLEVUE,168,Regular,12,Bel-Red Northup
BELLEVUE,169,Regular,12,Bel-Red Northup
BELLEVUE,170,Regular,12,Bel-Red Northup
BELLEVUE,171,Regular,12,Bel-Red Northup
BELLEVUE,172,Regular,12,Bel-Red Northup
BELLEVUE,173,Regular,12,Bel-Red Northup
BELLEVUE,174,Regular,12,Bel-Red Northup
BELLEVUE,175,Regular,12,Bel-Red Northup
BELLEVUE,176,Regular,12,Bel-Red Northup
BELLEVUE,177,Regular,12,Bel-Red Northup
BELLEVUE,178,Regular,12,Bel-Red Northup
BELLEVUE,179,Regular,12,Bel-Red Northup
BELLEVUE,180,Regular,12,Bel-Red Northup
BELLEVUE,181,Regular,12,Bel-Red Northup
BELLEVUE,182,Regular,12,Bel-Red Northup
BELLEVUE,183,Regular,4,Wilburton
BELLEVUE,184,Regular,12,Bel-Red Northup
BELLEVUE,185,Regular,4,Wilburton
BELLEVUE,186,Regular,12,Bel-Red Northup
BELLEVUE,187,Regular,12,Bel-Red Northup
BELLEVUE,188,Regular,12,Bel-Red Northup
BELLEVUE,189,Regular,12,Bel-Red Northup
BELLEVUE,190,Regular,8,Richards Valley
BELLEVUE,191,Regular,8,Richards Valley
BELLEVUE,192,Regular,12,Bel-Red Northup
BELLEVUE,193,Regular,12,Bel-Red Northup
BELLEVUE,194,Regular,8,Richards Valley
BELLEVUE,195,Regular,8,Richards Valley
BELLEVUE,196,Regular,12,Bel-Red Northup
BELLEVUE,197,Regular,12,Bel-Red Northup
BELLEVUE,198,Regular,12,Bel-Red Northup
BELLEVUE,199,Regular,8,Richards Valley
BELLEVUE,200,Regular,8,Richards Valley
BELLEVUE,201,Regular,8,Richards Valley
BELLEVUE,202,Regular,8,Richards Valley
BELLEVUE,203,Regular,8,Richards Valley
BELLEVUE,204,Regular,12,Bel-Red Northup
BELLEVUE,205,Regular,12,Bel-Red Northup
BELLEVUE,206,Regular,9,East Bellevue
BELLEVUE,207,Regular,9,East Bellevue
BELLEVUE,208,Regular,9,East Bellevue
BELLEVUE,209,Regular,9,East Bellevue
BELLEVUE,210,Regular,9,East Bellevue
BELLEVUE,211,Regular,9,East Bellevue
BELLEVUE,212,Regular,9,East Bellevue
BELLEVUE,213,Regular,9,East Bellevue
BELLEVUE,214,Regular,9,East Bellevue
BELLEVUE,215,Regular,12,Bel-Red Northup
BELLEVUE,216,Middle School,9,East Bellevue
BELLEVUE,217,Regular,9,East Bellevue
BELLEVUE,218,Regular,9,East Bellevue
BELLEVUE,219,Regular,5,Crossroads
BELLEVUE,220,Regular,5,Crossroads
BELLEVUE,221,Regular,5,Crossroads
BELLEVUE,222,Regular,5,Crossroads
BELLEVUE,223,Regular,5,Crossroads
BELLEVUE,224,Regular,9,East Bellevue
BELLEVUE,225,Regular,5,Crossroads
BELLEVUE,226,Regular,12,Bel-Red Northup
BELLEVUE,227,Regular,6,Northeast Bellevue
BELLEVUE,228,Regular,6,Northeast Bellevue
BELLEVUE,229,Regular,6,Northeast Bellevue
BELLEVUE,230,Regular,6,Northeast Bellevue
BELLEVUE,231,Elementary School,6,Northeast Bellevue
BELLEVUE,232,Regular,6,Northeast Bellevue
BELLEVUE,233,Regular,6,Northeast Bellevue
BELLEVUE,234,Regular,6,Northeast Bellevue
BELLEVUE,235,Regular,6,Northeast Bellevue
BELLEVUE,236,High School,6,Northeast Bellevue
BELLEVUE,237,Regular,6,Northeast Bellevue
BELLEVUE,238,Regular,6,Northeast Bellevue
BELLEVUE,239,Regular,5,Crossroads
BELLEVUE,240,Regular,5,Crossroads
BELLEVUE,241,Regular,5,Crossroads
BELLEVUE,242,Regular,5,Crossroads
BELLEVUE,243,Park,5,Crossroads
BELLEVUE,244,Regular,5,Crossroads
BELLEVUE,245,Regular,5,Crossroads
BELLEVUE,246,Regular,5,Crossroads
BELLEVUE,247,Regular,6,Northeast Bellevue
BELLEVUE,248,Regular,6,Northeast Bellevue
BELLEVUE,249,Regular,6,Northeast Bellevue
BELLEVUE,250,Regular,6,Northeast Bellevue
BELLEVUE,251,Elementary School,6,Northeast Bellevue
BELLEVUE,252,Regular,6,Northeast Bellevue
BELLEVUE,253,Regular,6,Northeast Bellevue
BELLEVUE,254,Regular,6,Northeast Bellevue
BELLEVUE,255,Regular,6,Northeast Bellevue
BELLEVUE,256,Regular,6,Northeast Bellevue
BELLEVUE,257,Regular,6,Northeast Bellevue
BELLEVUE,258,Regular,6,Northeast Bellevue
BELLEVUE,259,Regular,6,Northeast Bellevue
BELLEVUE,260,Regular,6,Northeast Bellevue
BELLEVUE,261,Regular,6,Northeast Bellevue
BELLEVUE,262,Regular,6,Northeast Bellevue
BELLEVUE,263,Regular,6,Northeast Bellevue
BELLEVUE,264,Elementary School,6,Northeast Bellevue
BELLEVUE,265,Park,6,Northeast Bellevue
BELLEVUE,266,Regular,6,Northeast Bellevue
BELLEVUE,267,Regular,6,Northeast Bellevue
BELLEVUE,268,Regular,6,Northeast Bellevue
BELLEVUE,269,Regular,6,Northeast Bellevue
BELLEVUE,270,Regular,6,Northeast Bellevue
BELLEVUE,271,Regular,6,Northeast Bellevue
BELLEVUE,272,Regular,9,East Bellevue
BELLEVUE,273,Regular,9,East Bellevue
BELLEVUE,274,Regular,9,East Bellevue
BELLEVUE,275,Regular,9,East Bellevue
BELLEVUE,276,Regular,9,East Bellevue
BELLEVUE,277,Regular,9,East Bellevue
BELLEVUE,278,Regular,9,East Bellevue
BELLEVUE,279,Regular,9,East Bellevue
BELLEVUE,280,Regular,9,East Bellevue
BELLEVUE,281,Regular,9,East Bellevue
BELLEVUE,282,Regular,9,East Bellevue
BELLEVUE,283,Middle School,9,East Bellevue
BELLEVUE,284,Regular,9,East Bellevue
BELLEVUE,285,Regular,9,East Bellevue
BELLEVUE,286,Regular,9,East Bellevue
BELLEVUE,287,Regular,9,East Bellevue
BELLEVUE,288,Park,9,East Bellevue
BELLEVUE,289,Regular,9,East Bellevue
BELLEVUE,290,Regular,9,East Bellevue
BELLEVUE,291,Regular,9,East Bellevue
BELLEVUE,292,Regular,9,East Bellevue
BELLEVUE,293,Regular,9,East Bellevue
BELLEVUE,294,Regular,9,East Bellevue
BELLEVUE,295,Regular,9,East Bellevue
BELLEVUE,296,Regular,9,East Bellevue
BELLEVUE,297,Regular,9,East Bellevue
BELLEVUE,298,Park,9,East Bellevue
BELLEVUE,299,Regular,9,East Bellevue
BELLEVUE,300,Regular,9,East Bellevue
BELLEVUE,301,Regular,9,East Bellevue
BELLEVUE,302,Regular,9,East Bellevue
BELLEVUE,303,Regular,9,East Bellevue
BELLEVUE,304,Regular,9,East Bellevue
BELLEVUE,305,Elementary School,9,East Bellevue
BELLEVUE,306,Park,9,East Bellevue
BELLEVUE,307,Middle School,9,East Bellevue
BELLEVUE,308,Regular,9,East Bellevue
BELLEVUE,309,Regular,9,East Bellevue
BELLEVUE,310,Regular,9,East Bellevue
BELLEVUE,311,Regular,9,East Bellevue
BELLEVUE,312,Park,9,East Bellevue
BELLEVUE,313,Regular,9,East Bellevue
BELLEVUE,314,Regular,9,East Bellevue
BELLEVUE,315,Park,9,East Bellevue
BELLEVUE,316,Park,9,East Bellevue
BELLEVUE,317,Regular,9,East Bellevue
BELLEVUE,318,Regular,9,East Bellevue
BELLEVUE,319,Regular,9,East Bellevue
BELLEVUE,320,Middle School,9,East Bellevue
BELLEVUE,321,Park,9,East Bellevue
BELLEVUE,322,Regular,9,East Bellevue
BELLEVUE,323,Regular,9,East Bellevue
BELLEVUE,324,Regular,9,East Bellevue
BELLEVUE,325,Regular,9,East Bellevue
BELLEVUE,326,Park,10,Eastgate
BELLEVUE,327,Regular,10,Eastgate
BELLEVUE,328,Regular,10,Eastgate
BELLEVUE,329,Elementary School,10,Eastgate
BELLEVUE,330,Regular,9,East Bellevue
BELLEVUE,331,Regular,9,East Bellevue
BELLEVUE,332,Regular,9,East Bellevue
BELLEVUE,333,Regular,9,East Bellevue
BELLEVUE,334,Regular,9,East Bellevue
BELLEVUE,335,Regular,9,East Bellevue
BELLEVUE,336,Regular,9,East Bellevue
BELLEVUE,337,Elementary School,9,East Bellevue
BELLEVUE,338,Regular,9,East Bellevue
BELLEVUE,339,Regular,9,East Bellevue
BELLEVUE,340,Regular,9,East Bellevue
BELLEVUE,341,Regular,9,East Bellevue
BELLEVUE,342,Regular,10,Eastgate
BELLEVUE,343,Regular,10,Eastgate
BELLEVUE,344,Regular,10,Eastgate
BELLEVUE,345,Regular,10,Eastgate
BELLEVUE,346,Regular,9,East Bellevue
BELLEVUE,347,Regular,10,Eastgate
BELLEVUE,348,Regular,10,Eastgate
BELLEVUE,349,Regular,10,Eastgate
BELLEVUE,350,Regular,10,Eastgate
BELLEVUE,351,College,10,Eastgate
BELLEVUE,352,Regular,10,Eastgate
BELLEVUE,353,Regular,10,Eastgate
BELLEVUE,354,Regular,9,East Bellevue
BELLEVUE,355,Regular,8,Richards Valley
BELLEVUE,356,Regular,9,East Bellevue
BELLEVUE,357,Regular,9,East Bellevue
BELLEVUE,358,Regular,8,Richards Valley
BELLEVUE,359,Regular,9,East Bellevue
BELLEVUE,360,Regular,9,East Bellevue
BELLEVUE,361,Regular,9,East Bellevue
BELLEVUE,362,Elementary School,9,East Bellevue
BELLEVUE,363,Regular,9,East Bellevue
BELLEVUE,364,Regular,9,East Bellevue
BELLEVUE,365,Regular,9,East Bellevue
BELLEVUE,366,Regular,9,East Bellevue
BELLEVUE,367,Regular,9,East Bellevue
